School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
ASPIRA CHTR - HAUGAN,400017,3500,Charter,7th Grade,2012,63.6,77.6,69.2,6.5,16.8,10.8,57.1,60.8,58.4,35.5,18.1,23.2,0.9,4.3,7.6,231,232
ASPIRA CHTR - HAUGAN,400017,3500,Charter,8th Grade,2012,72.0,69.4,70.7,0.9,15.1,8.0,71.1,54.3,62.7,28.0,29.7,28.8,0.0,0.9,0.5,218,219
ASPIRA CHTR - HAUGAN,400017,3500,Charter,6th Grade,2013,38.5,36.8,37.6,4.3,4.3,4.3,34.2,32.5,33.3,50.4,48.7,49.6,11.1,14.5,12.8,117,117
ASPIRA CHTR - HAUGAN,400017,3500,Charter,7th Grade,2013,46.6,60.7,59.9,6.7,6.3,9.1,39.9,54.5,50.8,40.4,30.8,29.2,13.0,8.5,10.9,223,224
ASPIRA CHTR - HAUGAN,400017,3500,Charter,8th Grade,2013,41.3,44.7,43.0,7.1,2.7,4.9,34.2,42.0,38.1,48.0,48.2,48.1,10.7,7.1,8.9,225,226
ASPIRA CHTR - HAUGAN,400017,3500,Charter,6th Grade,2014,34.4,46.4,40.4,3.2,4.0,3.6,31.2,42.4,36.8,52.8,39.2,46.0,12.8,14.4,13.6,125,125
ASPIRA CHTR - HAUGAN,400017,3500,Charter,7th Grade,2014,49.1,58.5,61.6,7.1,3.8,6.6,42.0,54.7,55.0,42.0,33.0,28.9,9.0,8.5,9.4,212,212
ASPIRA CHTR - HAUGAN,400017,3500,Charter,8th Grade,2014,41.1,56.2,48.6,5.9,6.8,6.4,35.2,49.3,42.2,45.7,34.2,40.0,13.2,9.6,11.4,219,219
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,3rd Grade,2010,71.2,87.8,79.6,13.7,28.4,21.1,57.5,59.5,58.5,26.0,12.2,19.0,2.7,0.0,1.4,73,74
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2010,55.1,67.3,53.1,6.1,6.1,4.1,49.0,61.2,49.0,44.9,30.6,42.2,0.0,2.0,4.8,49,49
