School_Name,School_ID,Network,Grade,Year,Reading_StudentsNumber,Reading_VAM,Reading_Confidence,Reading_Percentile,Reading_Color,Math_StudentsNumber,Math_VAM,Math_Confidence,Math_Percentile,Math_Color
REILLY,610144,Fullerton,All Grades,2013,549.0,-0.1,-0.7 to 0.4,44,Yellow,548.0,0.0,-0.3 to 0.3,51,Yellow
COLUMBIA EXPLORERS,610170,Pershing,All Grades,2013,528.0,-0.2,-0.7 to 0.4,40,Yellow,527.0,1.1,0.8 to 1.5,89,Green
CASTELLANOS,609826,Pilsen-Little Village,All Grades,2013,526.0,0.3,-0.3 to 0.8,63,Yellow,524.0,-0.4,-0.7 to 0,34,Red
BELL,609799,Ravenswood-Ridge,All Grades,2013,520.0,0.7,0.2 to 1.3,84,Green,517.0,0.2,-0.1 to 0.6,63,Yellow
SMYSER,610179,O'Hare,All Grades,2013,515.0,-0.9,-1.5 to -0.4,14,Red,515.0,0.0,-0.4 to 0.3,50,Yellow
CLINTON,609859,Ravenswood-Ridge,All Grades,2013,511.0,0.3,-0.3 to 0.8,64,Yellow,512.0,0.1,-0.2 to 0.5,58,Yellow
PRIETO,610533,Fullerton,All Grades,2013,503.0,0.0,-0.6 to 0.5,48,Yellow,508.0,0.7,0.3 to 1,78,Green
PORTAGE PARK,610135,O'Hare,All Grades,2013,497.0,0.8,0.3 to 1.4,86,Green,497.0,-0.3,-0.7 to 0,38,Yellow
WHITNEY,610227,Pilsen-Little Village,All Grades,2013,483.0,-0.4,-0.9 to 0.2,32,Yellow,483.0,0.2,-0.2 to 0.6,61,Yellow
BATEMAN,609792,O'Hare,All Grades,2013,474.0,-0.2,-0.7 to 0.4,40,Yellow,473.0,-0.1,-0.5 to 0.3,47,Yellow
AZUELA,610544,Midway,All Grades,2013,468.0,1.9,1.3 to 2.4,98,Green,470.0,0.9,0.5 to 1.3,85,Green
VOLTA,610209,O'Hare,All Grades,2013,468.0,0.5,0 to 1.1,76,Yellow,466.0,-0.4,-0.7 to 0,37,Yellow
SCAMMON,610159,O'Hare,All Grades,2013,464.0,0.7,0.1 to 1.3,82,Green,463.0,0.8,0.4 to 1.2,81,Green
AMES,609780,Fullerton,All Grades,2013,465.0,-1.2,-1.9 to -0.6,9,Red,463.0,-0.6,-1 to -0.2,27,Red
BURBANK,609818,Fullerton,All Grades,2013,462.0,1.1,0.5 to 1.7,90,Green,461.0,0.7,0.3 to 1.1,79,Green
HALE,609960,Midway,All Grades,2013,457.0,0.0,-0.5 to 0.6,52,Yellow,461.0,0.1,-0.3 to 0.5,58,Yellow
OROZCO,610329,Pilsen-Little Village,All Grades,2013,462.0,0.1,-0.5 to 0.7,57,Yellow,460.0,0.1,-0.3 to 0.5,57,Yellow
"THORP, O",610201,O'Hare,All Grades,2013,454.0,0.2,-0.4 to 0.8,61,Yellow,454.0,0.2,-0.2 to 0.5,60,Yellow
RUIZ,610125,Pilsen-Little Village,All Grades,2013,448.0,0.1,-0.5 to 0.7,55,Yellow,449.0,0.3,-0.1 to 0.6,64,Yellow
ZAPATA,609973,Pilsen-Little Village,All Grades,2013,451.0,-0.1,-0.6 to 0.5,46,Yellow,449.0,-1.0,-1.4 to -0.6,14,Red
MOUNT GREENWOOD,610082,Rock Island,All Grades,2013,450.0,-0.7,-1.3 to -0.1,20,Red,449.0,0.2,-0.2 to 0.6,62,Yellow
PALMER,610111,O'Hare,All Grades,2013,448.0,0.4,-0.2 to 1,70,Yellow,448.0,0.2,-0.2 to 0.6,62,Yellow
LEE,610291,Midway,All Grades,2013,448.0,0.6,0 to 1.1,77,Yellow,446.0,-0.7,-1.1 to -0.3,24,Red
SPENCER TECH ACAD,610183,Austin-North Lawndale,All Grades,2013,442.0,-1.0,-1.6 to -0.3,13,Red,444.0,-0.2,-0.7 to 0.3,43,Yellow
ADDAMS,609772,Lake Calumet,All Grades,2013,436.0,0.5,-0.1 to 1.1,73,Yellow,435.0,1.2,0.8 to 1.6,90,Green
"DAVIS, N",609876,Pershing,All Grades,2013,437.0,-0.2,-0.8 to 0.4,40,Yellow,434.0,0.4,0 to 0.8,70,Green
